id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;bulan;luas_panen;satuan;produksi_padi;satuan;produktivitas_padi;satuan;tahun
72;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;DESEMBER;3946;HEKTAR;22541;TON GABAH KERING GILING;57.12;KUINTAL PER HEKTAR;2018
73;32;JAWA BARAT;3207;KABUPATEN CIAMIS;JANUARI;1277;HEKTAR;7780;TON GABAH KERING GILING;60.92;KUINTAL PER HEKTAR;2018
74;32;JAWA BARAT;3207;KABUPATEN CIAMIS;FEBRUARI;3225;HEKTAR;19647;TON GABAH KERING GILING;60.92;KUINTAL PER HEKTAR;2018
75;32;JAWA BARAT;3207;KABUPATEN CIAMIS;MARET;12897;HEKTAR;78566;TON GABAH KERING GILING;60.92;KUINTAL PER HEKTAR;2018
76;32;JAWA BARAT;3207;KABUPATEN CIAMIS;APRIL;4688;HEKTAR;28560;TON GABAH KERING GILING;60.92;KUINTAL PER HEKTAR;2018
77;32;JAWA BARAT;3207;KABUPATEN CIAMIS;MEI;3812;HEKTAR;20985;TON GABAH KERING GILING;55.05;KUINTAL PER HEKTAR;2018
78;32;JAWA BARAT;3207;KABUPATEN CIAMIS;JUNI;1215;HEKTAR;6688;TON GABAH KERING GILING;55.05;KUINTAL PER HEKTAR;2018
79;32;JAWA BARAT;3207;KABUPATEN CIAMIS;JULI;7019;HEKTAR;38643;TON GABAH KERING GILING;55.05;KUINTAL PER HEKTAR;2018
80;32;JAWA BARAT;3207;KABUPATEN CIAMIS;AGUSTUS;9022;HEKTAR;49668;TON GABAH KERING GILING;55.05;KUINTAL PER HEKTAR;2018
81;32;JAWA BARAT;3207;KABUPATEN CIAMIS;SEPTEMBER;7045;HEKTAR;38563;TON GABAH KERING GILING;54.74;KUINTAL PER HEKTAR;2018
82;32;JAWA BARAT;3207;KABUPATEN CIAMIS;OKTOBER;2917;HEKTAR;15968;TON GABAH KERING GILING;54.74;KUINTAL PER HEKTAR;2018
83;32;JAWA BARAT;3207;KABUPATEN CIAMIS;NOVEMBER;1329;HEKTAR;7277;TON GABAH KERING GILING;54.74;KUINTAL PER HEKTAR;2018
84;32;JAWA BARAT;3207;KABUPATEN CIAMIS;DESEMBER;706;HEKTAR;3867;TON GABAH KERING GILING;54.74;KUINTAL PER HEKTAR;2018
85;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;JANUARI;684;HEKTAR;4134;TON GABAH KERING GILING;60.49;KUINTAL PER HEKTAR;2018
86;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;FEBRUARI;3471;HEKTAR;20994;TON GABAH KERING GILING;60.49;KUINTAL PER HEKTAR;2018
87;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;MARET;9803;HEKTAR;59293;TON GABAH KERING GILING;60.49;KUINTAL PER HEKTAR;2018
88;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;APRIL;6567;HEKTAR;39722;TON GABAH KERING GILING;60.49;KUINTAL PER HEKTAR;2018
89;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;MEI;2856;HEKTAR;18270;TON GABAH KERING GILING;63.97;KUINTAL PER HEKTAR;2018
90;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;JUNI;4153;HEKTAR;26567;TON GABAH KERING GILING;63.97;KUINTAL PER HEKTAR;2018
91;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;JULI;9367;HEKTAR;59914;TON GABAH KERING GILING;63.97;KUINTAL PER HEKTAR;2018
92;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;AGUSTUS;4897;HEKTAR;31322;TON GABAH KERING GILING;63.97;KUINTAL PER HEKTAR;2018
93;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;SEPTEMBER;3895;HEKTAR;21762;TON GABAH KERING GILING;55.88;KUINTAL PER HEKTAR;2018
94;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;OKTOBER;1555;HEKTAR;8687;TON GABAH KERING GILING;55.88;KUINTAL PER HEKTAR;2018
95;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;NOVEMBER;2887;HEKTAR;16132;TON GABAH KERING GILING;55.88;KUINTAL PER HEKTAR;2018
96;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;DESEMBER;1369;HEKTAR;7647;TON GABAH KERING GILING;55.88;KUINTAL PER HEKTAR;2018
97;32;JAWA BARAT;3209;KABUPATEN CIREBON;JANUARI;2119;HEKTAR;13095;TON GABAH KERING GILING;61.79;KUINTAL PER HEKTAR;2018
98;32;JAWA BARAT;3209;KABUPATEN CIREBON;FEBRUARI;3986;HEKTAR;24628;TON GABAH KERING GILING;61.79;KUINTAL PER HEKTAR;2018
99;32;JAWA BARAT;3209;KABUPATEN CIREBON;MARET;12748;HEKTAR;78763;TON GABAH KERING GILING;61.79;KUINTAL PER HEKTAR;2018
100;32;JAWA BARAT;3209;KABUPATEN CIREBON;APRIL;18324;HEKTAR;113219;TON GABAH KERING GILING;61.79;KUINTAL PER HEKTAR;2018
101;32;JAWA BARAT;3209;KABUPATEN CIREBON;MEI;10394;HEKTAR;57751;TON GABAH KERING GILING;55.56;KUINTAL PER HEKTAR;2018
102;32;JAWA BARAT;3209;KABUPATEN CIREBON;JUNI;3059;HEKTAR;16995;TON GABAH KERING GILING;55.56;KUINTAL PER HEKTAR;2018
103;32;JAWA BARAT;3209;KABUPATEN CIREBON;JULI;8959;HEKTAR;49779;TON GABAH KERING GILING;55.56;KUINTAL PER HEKTAR;2018
104;32;JAWA BARAT;3209;KABUPATEN CIREBON;AGUSTUS;10141;HEKTAR;56345;TON GABAH KERING GILING;55.56;KUINTAL PER HEKTAR;2018
105;32;JAWA BARAT;3209;KABUPATEN CIREBON;SEPTEMBER;11929;HEKTAR;57903;TON GABAH KERING GILING;48.54;KUINTAL PER HEKTAR;2018
106;32;JAWA BARAT;3209;KABUPATEN CIREBON;OKTOBER;11700;HEKTAR;56791;TON GABAH KERING GILING;48.54;KUINTAL PER HEKTAR;2018
107;32;JAWA BARAT;3209;KABUPATEN CIREBON;NOVEMBER;4181;HEKTAR;20296;TON GABAH KERING GILING;48.54;KUINTAL PER HEKTAR;2018
108;32;JAWA BARAT;3209;KABUPATEN CIREBON;DESEMBER;1442;HEKTAR;7001;TON GABAH KERING GILING;48.54;KUINTAL PER HEKTAR;2018
109;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;JANUARI;862;HEKTAR;5500;TON GABAH KERING GILING;63.81;KUINTAL PER HEKTAR;2018
110;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;FEBRUARI;5447;HEKTAR;33994;TON GABAH KERING GILING;62.41;KUINTAL PER HEKTAR;2018
111;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;MARET;26555;HEKTAR;168178;TON GABAH KERING GILING;63.33;KUINTAL PER HEKTAR;2018
112;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;APRIL;6602;HEKTAR;42130;TON GABAH KERING GILING;63.81;KUINTAL PER HEKTAR;2018
113;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;MEI;4361;HEKTAR;26669;TON GABAH KERING GILING;61.15;KUINTAL PER HEKTAR;2018
114;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;JUNI;7103;HEKTAR;42530;TON GABAH KERING GILING;59.88;KUINTAL PER HEKTAR;2018
115;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;JULI;20072;HEKTAR;122552;TON GABAH KERING GILING;61.06;KUINTAL PER HEKTAR;2018
116;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;AGUSTUS;7579;HEKTAR;46340;TON GABAH KERING GILING;61.15;KUINTAL PER HEKTAR;2018
117;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;SEPTEMBER;6476;HEKTAR;36821;TON GABAH KERING GILING;56.86;KUINTAL PER HEKTAR;2018
118;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;OKTOBER;1380;HEKTAR;7846;TON GABAH KERING GILING;56.86;KUINTAL PER HEKTAR;2018
119;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;NOVEMBER;2387;HEKTAR;13572;TON GABAH KERING GILING;56.86;KUINTAL PER HEKTAR;2018
120;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;DESEMBER;1425;HEKTAR;8100;TON GABAH KERING GILING;56.86;KUINTAL PER HEKTAR;2018
121;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;JANUARI;1760;HEKTAR;9884;TON GABAH KERING GILING;56.15;KUINTAL PER HEKTAR;2018
